fixture_key	video_id	valid_sessions	invalid_sessions	total_sessions	watched
A3_LIB_01	7L0RLrfrBHE	6	2	8	True
A3_LIB_02	pV45eVVcuYc	5	2	7	True
A3_LIB_03	unFHsn0qSMA	4	1	5	True
A3_LIB_04	SIAGpAaLSaI	4	1	5	True
A3_LIB_05	wO4oDe-hEKo	3	2	5	True
A3_LIB_06	LykA5UTyrMs	2	1	3	True
A3_LIB_07	Pju2Y69Q6ew	2	1	3	True
A3_LIB_08	MQZ1TH0l7sk	2	1	3	True
A3_LIB_09	TsTr-tKCREc	1	1	2	True
A3_LIB_10	QJmNEqy0zV0	1	1	2	True
A3_LIB_11	zjUC_W7IOIc	0	1	1	False
A3_LIB_12	B4sy3DL4IX0	0	1	1	False
A3_LIB_13	L3Z4KfyCZOI	0	0	0	False
A3_LIB_14	YqAU7T-BoDE	0	0	0	False
A3_LIB_15	SdcdneSdoV4	0	0	0	False
