fixture_key	library_order	category	video_id	title	valid_sessions	invalid_sessions	total_sessions	watched
A2_LIB_001	1	Java Core	AkhPDT0VIeM	#5. Variables | Java Programming Course for Beginners from A to Z	35	1	36	True
A2_LIB_002	2	Java Core	UVHlHN5Ky7I	#10. Java Data Types (Kiểu dữ liệu) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	0	2	2	False
A2_LIB_003	3	Java Core	6AWG5AXWCzg	#16. Loops | Java Basic Course From A to Z for Beginners	5	3	8	True
A2_LIB_004	4	Java Core	xzbF3XpiHlo	#17. Array Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	8	2	10	True
A2_LIB_005	5	Java Core	wO4oDe-hEKo	#21. What is Object-Oriented Programming (OOP)? | Java Basics A-Z Course for Beginners	15	3	18	True
A2_LIB_006	6	Java Core	PaOJlKbwiX0	#22. Concepts of Class and Object | Java Basics Course From A to Z for Beginners	5	1	6	True
A2_LIB_007	7	Java Core	tmKzNlHXmR0	#26. Defining a Constructor | Basic Java Course from A to Z for Beginners	15	0	15	True
A2_LIB_008	8	Java Core	YyMOnvkhXLU	#27. Access Modifier (private/public/protected) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	14	4	18	True
A2_LIB_009	9	Java Core	teQ5QZ2lUkE	#28. Encapsulation Java | Basic Java Course From A to Z for Beginners	5	2	7	True
A2_LIB_010	10	Java Core	LykA5UTyrMs	#33. What is an ArrayList? | Java Fundamentals Course From A to Z for Beginners	3	1	4	True
A2_LIB_011	11	Java Core	IhnwAcrBRTs	#34. Java Generics (Basic) | Java Programming Course from A to Z for Beginners	0	19	19	False
A2_LIB_012	12	Java Core	pXzRhD4Vu2s	#41. Java Inheritance - Kế Thừa | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	4	0	4	True
A2_LIB_013	13	Java Core	yMRSXK9dfp8	#43. Abstract Class (Basic) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	5	1	6	True
A2_LIB_014	14	Java Core	vIob6cVNufw	#44. Java Polymorphism | Java Basic Course from A to Z for Beginners	8	1	9	True
A2_LIB_015	15	Java Core	eRj_XQawcBg	#47. Interface Trong Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	16	0	16	True
A2_LIB_016	16	Java Core	xN_DF0FRx7A	#52. Try...Catch Xử Lý Exception | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	0	7	7	False
A2_LIB_017	17	Java Core	GgAsaNcxdwY	#59. Example of Read/Write File with Java | Basic Java Course From A to Z for Beginners	4	3	7	True
A2_LIB_018	18	Java Core	9M0UjGVZaDY	#61. Processes and Threads | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	3	4	7	True
A2_LIB_019	19	Java Core	pV45eVVcuYc	[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu	9	9	18	True
A2_LIB_020	20	DSA	ZEJ6MKuUZds	[CTDL & GT]. Buổi 1. Vector, Iterator, Pair, Set Trong C++	4	5	9	True
A2_LIB_021	21	DSA	Pju2Y69Q6ew	[CTDL & GT]. Buổi 2. Hàm sort, binary_search, lower_bound, upper_bound	9	0	9	True
A2_LIB_022	22	DSA	0_4s88NLOmw	[CTDL & GT]. Buổi 3. String Và Các Dạng Bài Tập Xử Lý Xâu Thường Gặp	15	3	18	True
A2_LIB_023	23	DSA	sdosjI25u5c	[CTDL & GT]. Buổi 4. Mảng Cộng Dồn, Mảng Hiệu, Kỹ Thuật Loang Trên Mảng 2 Chiều	4	1	5	True
A2_LIB_024	24	DSA	DRcAJNhtwbY	#34 [C++]. Cấu Trúc Dữ Liệu Hàng Đợi Ưu Tiên | Priority_queue trong C++	17	3	20	True
A2_LIB_025	25	DSA	MQZ1TH0l7sk	#31 [C++]. Cấu Trúc Dữ Liệu Ngăn Xếp Ngôn Ngữ Lập Trình C++ | Cách Hoạt Động của CTDL Ngăn Xếp	7	1	8	True
A2_LIB_026	26	DSA	XUx3iJVPdxA	#35 [C++]. Kỹ Thuật Cửa Sổ Trượt | Sliding Window	9	2	11	True
A2_LIB_027	27	DSA	PPyw2vp6SIU	#36 [C++]. Kỹ thuật Hai Con Trỏ | Two Pointers Trong C++	6	6	12	True
A2_LIB_028	28	DSA	mdG5TEiJTx8	#46. [C++]. Danh Sách Liên Kết Đơn Ngôn Ngữ Lập Trình C++| Quản Lý Sinh Viên Bằng Danh Sách Liên Kết	3	1	4	True
A2_LIB_029	29	DSA	efpaZznImN4	#47 [C++]. Thuật Toán Quay Lui | Bài Toán N Quân Hậu Ngôn Ngữ Lập Trình C++	13	3	16	True
A2_LIB_030	30	DSA	pGa4PfLLHx8	[CTDL & GT]. Một Số Dạng Bài Về Sắp Xếp Và Tìm Kiếm - Tìm Kiếm Nhị Phân Kết Quả	0	2	2	False
A2_LIB_031	31	DSA	DMrd-RnLeJI	#23 [Lý thuyết đồ thị | Toán rời rạc]. Thuật toán Bellman-Ford - Tìm đường đi ngắn nhất trên đồ thị	8	1	9	True
A2_LIB_032	32	DSA	KXsfp8YiucE	[DSA]. The Count Islands problem and the Flood Fill algorithm.	0	5	5	False
A2_LIB_033	33	JavaScript	W8vJ-yOtSbE	Hiểu về Javascript Callback Functions | Callback Trong Javascript | Javascript Callback	25	2	27	True
A2_LIB_034	34	JavaScript	TsTr-tKCREc	What is HTML DOM? | JavaScript HTML DOM	0	3	3	False
A2_LIB_035	35	JavaScript	AA3WWZAMv_0	DOM events	50	1	51	True
A2_LIB_036	36	JavaScript	U624VLOxiTo	Event listener | add & removeEventListener	10	4	14	True
A2_LIB_037	37	JavaScript	Uph14HYkgEQ	JSON là gì? JSON được sử dụng như thế nào trong JavaScript?	1	1	2	True
A2_LIB_038	38	JavaScript	QJmNEqy0zV0	Promise (sync async) trong JavaScript | Khái niệm promise	4	2	6	True
A2_LIB_039	39	JavaScript	_4F8ihblZFU	Promise trong Javascript | Cách sử dụng Promise | JavaScript Promise	0	7	7	False
A2_LIB_040	40	JavaScript	9QeNLypIiZs	Arrow function in JavaScript ES6 | Arrow function concept	21	0	21	True
A2_LIB_041	41	JavaScript	J1m4vLDUhEI	Destructuring trong JavaScript ES6	7	3	10	True
A2_LIB_042	42	JavaScript	08lWi4T2Bfg	Module trong JavaScript ES6	2	1	3	True
A2_LIB_043	43	JavaScript	8KkM6JFjJZA	Fetch | Fetch Concept in JavaScript	30	1	31	True
A2_LIB_044	44	JavaScript	TRjVXmk8q8I	Add/edit/delete courses with Fetch and REST API	12	8	20	True
A2_LIB_045	45	JavaScript	vAecGPWxzFE	Code Music Player Xịn Xò Từ A-Z | Thực hành JavaScript | Code trình phát nhạc	3	1	4	True
A2_LIB_046	46	React Hooks	unFHsn0qSMA	React hooks - Giới thiệu tổng quát về hooks (2020)	4	4	8	True
A2_LIB_047	47	React Hooks	_D16z1kL0wo	React hooks: 02 - useState() and what you need to know 😊 (2020)	30	8	38	True
A2_LIB_048	48	React Hooks	zjUC_W7IOIc	React hooks: 06 - Những điều cần biết về useEffect hooks 🎉	23	2	25	True
A2_LIB_049	49	React Hooks	4a1_is2OdLY	React hooks: 07 - Calling APIs with useEffect hooks (2020) 🎉	17	2	19	True
A2_LIB_050	50	React Hooks	WF3pUtvC01M	React hooks: 09 - useEffect search có debounce 😍 (2020)	7	5	12	True
