video_id	url	result	availability	embeddable	age_limit	duration_seconds	title
7L0RLrfrBHE	https://www.youtube.com/watch?v=7L0RLrfrBHE	ELIGIBLE	public	True	0	38238	[FULL] Khóa Học Java Cơ Bản Từ A tới Z cho Beginner | Học Java Từ Số 0 với Hỏi Dân IT
syo6oncqRt8	https://www.youtube.com/watch?v=syo6oncqRt8	ELIGIBLE	public	True	0	452	#1. Java là gì ? | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
AkhPDT0VIeM	https://www.youtube.com/watch?v=AkhPDT0VIeM	ELIGIBLE	public	True	0	544	#5. Variables (Khái niệm biến) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
UVHlHN5Ky7I	https://www.youtube.com/watch?v=UVHlHN5Ky7I	ELIGIBLE	public	True	0	743	#10. Java Data Types (Kiểu dữ liệu) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
8RO1f4jAmCk	https://www.youtube.com/watch?v=8RO1f4jAmCk	ELIGIBLE	public	True	0	657	#12. Java If...Else | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
6AWG5AXWCzg	https://www.youtube.com/watch?v=6AWG5AXWCzg	ELIGIBLE	public	True	0	540	#16. Vòng lặp (Loop) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
xzbF3XpiHlo	https://www.youtube.com/watch?v=xzbF3XpiHlo	ELIGIBLE	public	True	0	800	#17. Array Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
wO4oDe-hEKo	https://www.youtube.com/watch?v=wO4oDe-hEKo	ELIGIBLE	public	True	0	407	#21. Lập Trình Hướng Đối Tượng (OOP) Là gì ? | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
PaOJlKbwiX0	https://www.youtube.com/watch?v=PaOJlKbwiX0	ELIGIBLE	public	True	0	348	#22. Khái niệm Class và Object | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
ZxibV3JKIjw	https://www.youtube.com/watch?v=ZxibV3JKIjw	ELIGIBLE	public	True	0	157	#24. Class Attributes (Thuộc tính của Class) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
J19nSnURweo	https://www.youtube.com/watch?v=J19nSnURweo	ELIGIBLE	public	True	0	439	#25. Class Method (Phương thức của class) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
tmKzNlHXmR0	https://www.youtube.com/watch?v=tmKzNlHXmR0	ELIGIBLE	public	True	0	908	#26. Định nghĩa hàm tạo (Constructor) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
YyMOnvkhXLU	https://www.youtube.com/watch?v=YyMOnvkhXLU	ELIGIBLE	public	True	0	1013	#27. Access Modifier (private/public/protected) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
teQ5QZ2lUkE	https://www.youtube.com/watch?v=teQ5QZ2lUkE	ELIGIBLE	public	True	0	888	#28. Encapsulation Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
WCJq8JQRMNI	https://www.youtube.com/watch?v=WCJq8JQRMNI	ELIGIBLE	public	True	0	364	#32. Java Autoboxing/Unboxing (Object wrapper class) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
LykA5UTyrMs	https://www.youtube.com/watch?v=LykA5UTyrMs	ELIGIBLE	public	True	0	687	#33. ArrayList là gì ? | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
IhnwAcrBRTs	https://www.youtube.com/watch?v=IhnwAcrBRTs	ELIGIBLE	public	True	0	515	#34. Java Generics (Basic) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
VEzA5G7_GJI	https://www.youtube.com/watch?v=VEzA5G7_GJI	ELIGIBLE	public	True	0	382	#37. String (Chuỗi) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
jk82QXsgk_E	https://www.youtube.com/watch?v=jk82QXsgk_E	ELIGIBLE	public	True	0	502	#39. Regular Expression | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
pXzRhD4Vu2s	https://www.youtube.com/watch?v=pXzRhD4Vu2s	ELIGIBLE	public	True	0	514	#41. Java Inheritance - Kế Thừa | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
yMRSXK9dfp8	https://www.youtube.com/watch?v=yMRSXK9dfp8	ELIGIBLE	public	True	0	225	#43. Abstract Class (Basic) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
vIob6cVNufw	https://www.youtube.com/watch?v=vIob6cVNufw	ELIGIBLE	public	True	0	676	#44. Polymorphism (Tính đa hình) Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
eRj_XQawcBg	https://www.youtube.com/watch?v=eRj_XQawcBg	ELIGIBLE	public	True	0	650	#47. Interface Trong Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
xN_DF0FRx7A	https://www.youtube.com/watch?v=xN_DF0FRx7A	ELIGIBLE	public	True	0	808	#52. Try...Catch Xử Lý Exception | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
MI8HCOGGqGg	https://www.youtube.com/watch?v=MI8HCOGGqGg	ELIGIBLE	public	True	0	200	#54. Keyword Throws và Throw | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
UfXnEVpJglg	https://www.youtube.com/watch?v=UfXnEVpJglg	ELIGIBLE	public	True	0	368	#57. Tổng quan về Java IO (Stream) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
GgAsaNcxdwY	https://www.youtube.com/watch?v=GgAsaNcxdwY	ELIGIBLE	public	True	0	537	#59. Ví dụ về Read/Write File với Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
9M0UjGVZaDY	https://www.youtube.com/watch?v=9M0UjGVZaDY	ELIGIBLE	public	True	0	496	#61. Processes and Threads | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
WhKzTzadggg	https://www.youtube.com/watch?v=WhKzTzadggg	ELIGIBLE	public	True	0	410	#62. Thread Objects | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner
pV45eVVcuYc	https://www.youtube.com/watch?v=pV45eVVcuYc	ELIGIBLE	public	True	0	3959	[FULL] Chia Sẻ Lộ Trình Tự Học Java Spring - Spring Boot Từ Số 0 Dành Cho Người Mới Bắt Đầu
