fixture_key	role	category	video_id	title	has_vtt	note_count	timestamped_note_count	null_timestamp_note_count
A2_LIB_001	CURRENT_LIBRARY	Java Core	AkhPDT0VIeM	#5. Variables | Java Programming Course for Beginners from A to Z	True	2	2	0
A2_LIB_002	CURRENT_LIBRARY	Java Core	UVHlHN5Ky7I	#10. Java Data Types (Kiểu dữ liệu) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	True	2	2	0
A2_LIB_003	CURRENT_LIBRARY	Java Core	6AWG5AXWCzg	#16. Loops | Java Basic Course From A to Z for Beginners	True	2	2	0
A2_LIB_004	CURRENT_LIBRARY	Java Core	xzbF3XpiHlo	#17. Array Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	True	2	2	0
A2_LIB_005	CURRENT_LIBRARY	Java Core	wO4oDe-hEKo	#21. What is Object-Oriented Programming (OOP)? | Java Basics A-Z Course for Beginners	True	0	0	0
A2_LIB_006	CURRENT_LIBRARY	Java Core	PaOJlKbwiX0	#22. Concepts of Class and Object | Java Basics Course From A to Z for Beginners	True	2	2	0
A2_LIB_007	CURRENT_LIBRARY	Java Core	tmKzNlHXmR0	#26. Defining a Constructor | Basic Java Course from A to Z for Beginners	True	2	2	0
A2_LIB_008	CURRENT_LIBRARY	Java Core	YyMOnvkhXLU	#27. Access Modifier (private/public/protected) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	True	2	2	0
A2_LIB_009	CURRENT_LIBRARY	Java Core	teQ5QZ2lUkE	#28. Encapsulation Java | Basic Java Course From A to Z for Beginners	True	2	2	0
A2_LIB_010	CURRENT_LIBRARY	Java Core	LykA5UTyrMs	#33. What is an ArrayList? | Java Fundamentals Course From A to Z for Beginners	True	2	2	0
A2_LIB_011	CURRENT_LIBRARY	Java Core	IhnwAcrBRTs	#34. Java Generics (Basic) | Java Programming Course from A to Z for Beginners	True	3	2	1
A2_LIB_012	CURRENT_LIBRARY	Java Core	pXzRhD4Vu2s	#41. Java Inheritance - Kế Thừa | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	True	0	0	0
A2_LIB_013	CURRENT_LIBRARY	Java Core	yMRSXK9dfp8	#43. Abstract Class (Basic) | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	True	3	2	1
A2_LIB_014	CURRENT_LIBRARY	Java Core	vIob6cVNufw	#44. Java Polymorphism | Java Basic Course from A to Z for Beginners	True	3	2	1
A2_LIB_015	CURRENT_LIBRARY	Java Core	eRj_XQawcBg	#47. Interface Trong Java | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	True	3	2	1
A2_LIB_016	CURRENT_LIBRARY	Java Core	xN_DF0FRx7A	#52. Try...Catch Xử Lý Exception | Khóa Học Java Cơ Bản Từ A tới Z cho Beginner	True	3	2	1
A2_LIB_017	CURRENT_LIBRARY	Java Core	GgAsaNcxdwY	#59. Example of Read/Write File with Java | Basic Java Course From A to Z for Beginners	True	3	2	1
