"FixtureKey"	"Title"	"FileTitle"	"Exists"	"Mime"	"SizeBytes"	"CanonicalUrl"	"SourcePage"	"Passed"	"Error"
"A2-IMG-001"	"Database Normalization Overview"	"File:Database normalization.svg"	"True"	"image/svg+xml"	"4866"	"https://upload.wikimedia.org/wikipedia/commons/7/7b/Database_normalization.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Database_normalization.svg"	"True"	""
"A2-IMG-002"	"OSI Model Layers"	"File:Osi-model.png"	"True"	"image/png"	"41412"	"https://upload.wikimedia.org/wikipedia/commons/2/2b/Osi-model.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Osi-model.png"	"True"	""
"A2-IMG-003"	"Network Topology Diagram"	"File:Network topology diagram.png"	"True"	"image/png"	"27288"	"https://upload.wikimedia.org/wikipedia/commons/4/41/Network_topology_diagram.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Network_topology_diagram.png"	"True"	""
"A2-IMG-004"	"Entity Relationship Examples"	"File:Entity Relationship Diagram Examples.png"	"True"	"image/png"	"25257"	"https://upload.wikimedia.org/wikipedia/commons/0/04/Entity_Relationship_Diagram_Examples.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Entity_Relationship_Diagram_Examples.png"	"True"	""
"A2-IMG-005"	"MVC Architecture Diagram"	"File:Mvc-diagram.png"	"True"	"image/png"	"24265"	"https://upload.wikimedia.org/wikipedia/commons/1/19/Mvc-diagram.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Mvc-diagram.png"	"True"	""
"A2-IMG-006"	"Cloud Computing Overview"	"File:Cloud computing.png"	"True"	"image/png"	"204191"	"https://upload.wikimedia.org/wikipedia/commons/9/9c/Cloud_computing.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Cloud_computing.png"	"True"	""
"A2-IMG-007"	"Quicksort Execution Diagram"	"File:Quicksort-diagram.svg"	"True"	"image/svg+xml"	"10912"	"https://upload.wikimedia.org/wikipedia/commons/a/af/Quicksort-diagram.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Quicksort-diagram.svg"	"True"	""
"A2-IMG-008"	"Dijkstra Algorithm Visualization"	"File:Dijkstra Animation.gif"	"True"	"image/gif"	"9051"	"https://upload.wikimedia.org/wikipedia/commons/5/57/Dijkstra_Animation.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Dijkstra_Animation.gif"	"True"	""
"A2-IMG-009"	"UML Class Diagram Example"	"File:UML class diagram example.svg"	"True"	"image/svg+xml"	"2559"	"https://upload.wikimedia.org/wikipedia/commons/3/34/UML_class_diagram_example.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:UML_class_diagram_example.svg"	"True"	""
"A2-IMG-010"	"Scrum Process Overview"	"File:Processus Scrum.svg"	"True"	"image/svg+xml"	"31859"	"https://upload.wikimedia.org/wikipedia/commons/f/f6/Processus_Scrum.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Processus_Scrum.svg"	"True"	""
"A2-IMG-011"	"TCP/IP Model"	"File:TCP-IP Model - en.png"	"True"	"image/png"	"11553"	"https://upload.wikimedia.org/wikipedia/commons/e/e5/TCP-IP_Model_-_en.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:TCP-IP_Model_-_en.png"	"True"	""
"A2-IMG-012"	"Docker Architecture"	"File:ArquiteturaDocker.png"	"True"	"image/png"	"257663"	"https://upload.wikimedia.org/wikipedia/commons/b/b4/ArquiteturaDocker.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:ArquiteturaDocker.png"	"True"	""
"A2-IMG-013"	"Linked List Diagram"	"File:LinkedList.png"	"True"	"image/png"	"10856"	"https://upload.wikimedia.org/wikipedia/commons/e/e0/LinkedList.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:LinkedList.png"	"True"	""
"A2-IMG-014"	"Client-Server Model"	"File:Client-server model.svg"	"True"	"image/svg+xml"	"37114"	"https://upload.wikimedia.org/wikipedia/commons/6/69/Client-server_model.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Client-server_model.svg"	"True"	""
"A2-IMG-015"	"Merge Sort Algorithm"	"File:Merge sort algorithm diagram.svg"	"True"	"image/svg+xml"	"14767"	"https://upload.wikimedia.org/wikipedia/commons/e/e6/Merge_sort_algorithm_diagram.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Merge_sort_algorithm_diagram.svg"	"True"	""
"A2-IMG-016"	"Queue Data Structure"	"File:Data Queue.svg"	"True"	"image/svg+xml"	"6351"	"https://upload.wikimedia.org/wikipedia/commons/5/52/Data_Queue.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Data_Queue.svg"	"True"	""
"A2-IMG-017"	"Stack Data Structure"	"File:Stack (data structure).svg"	"True"	"image/svg+xml"	"5640"	"https://upload.wikimedia.org/wikipedia/commons/0/06/Stack_%28data_structure%29.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Stack_(data_structure).svg"	"True"	""
"A2-IMG-018"	"Database Normal Forms Diagram"	"File:NormalFormDiagram.png"	"True"	"image/png"	"76103"	"https://upload.wikimedia.org/wikipedia/commons/7/75/NormalFormDiagram.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:NormalFormDiagram.png"	"True"	""
"A2-IMG-019"	"Network Topologies Overview"	"File:NetworkTopologies.svg"	"True"	"image/svg+xml"	"101052"	"https://upload.wikimedia.org/wikipedia/commons/9/97/NetworkTopologies.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:NetworkTopologies.svg"	"True"	""
"A2-IMG-020"	"Cloud Computing Stack"	"File:Cloud Computing Stack.svg"	"True"	"image/svg+xml"	"3171"	"https://upload.wikimedia.org/wikipedia/commons/3/3a/Cloud_Computing_Stack.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original"	"https://commons.wikimedia.org/wiki/File:Cloud_Computing_Stack.svg"	"True"	""
