"fixture_key"	"note_no"	"youtube_video_id"	"content"	"timestamp_seconds"	"vtt_track"	"cue_start_seconds"
"A2_LIB_001"	"1"	"AkhPDT0VIeM"	"Java Core: của biến này là kiểu int int này là kiểu"	"189"	"vi-orig"	"189"
"A2_LIB_001"	"2"	"AkhPDT0VIeM"	"Java Core: chúng ta đặt tên biến rồi Ví dụ mình ghi"	"369"	"vi-orig"	"369"
"A2_LIB_002"	"1"	"UVHlHN5Ky7I"	"Java Core: chúng ta học Java nó quy định rất chi ở"	"263"	"vi-orig"	"263"
"A2_LIB_002"	"2"	"UVHlHN5Ky7I"	"Java Core: ok hết thôi kiểu dữ liệu tiếp theo các"	"506"	"vi-orig"	"506"
"A2_LIB_003"	"1"	"6AWG5AXWCzg"	"Java Core: là một cái vòng tròn mà đúng không tăng"	"186"	"vi-orig"	"186"
"A2_LIB_003"	"2"	"6AWG5AXWCzg"	"Java Core: chạy tối thiểu một lần thì đây chính là"	"366"	"vi-orig"	"366"
"A2_LIB_004"	"1"	"xzbF3XpiHlo"	"Java Core: cần phải tuân theo cái ru của nó cá nhân"	"275"	"vi-orig"	"275"
"A2_LIB_004"	"2"	"xzbF3XpiHlo"	"Java Core: của nó các bạn này đây này bao các bạn"	"543"	"vi-orig"	"543"
"A2_LIB_006"	"1"	"PaOJlKbwiX0"	"Java Core: tên lớp học này còn đối với hành vi của"	"121"	"vi-orig"	"121"
"A2_LIB_006"	"2"	"PaOJlKbwiX0"	"Java Core: là đối tượng nó có nghĩa rằng là những"	"239"	"vi-orig"	"239"
"A2_LIB_007"	"1"	"tmKzNlHXmR0"	"Java Core: nha đối với Java Các bạn nhìn này thực"	"329"	"vi-orig"	"329"
"A2_LIB_007"	"2"	"tmKzNlHXmR0"	"Java Core: rằng ở đây này nếu mà mình comment luôn"	"622"	"vi-orig"	"622"
"A2_LIB_008"	"1"	"YyMOnvkhXLU"	"Java Core: copy đi cho nó nhanh việc quái thì chúng ta ngồi ở gõ code đây mình sẽ nốt lại"	"350"	"vi-orig"	"350"
"A2_LIB_008"	"2"	"YyMOnvkhXLU"	"Java Core: rằng là thằng default nó bằng với thằng"	"683"	"vi-orig"	"683"
"A2_LIB_009"	"1"	"teQ5QZ2lUkE"	"Java Core: có video 28 này mình p tương tự các bạn"	"302"	"vi-orig"	"302"
"A2_LIB_009"	"2"	"teQ5QZ2lUkE"	"Java Core: này public khi mà các bạn gán giá trị"	"593"	"vi-orig"	"593"
"A2_LIB_010"	"1"	"LykA5UTyrMs"	"Java Core: biết đúng không ở đây thì mình có minh"	"245"	"vi-orig"	"245"
"A2_LIB_010"	"2"	"LykA5UTyrMs"	"Java Core: nó báo chúng ta rằng là đây các bạn này"	"472"	"vi-orig"	"472"
"A2_LIB_011"	"1"	"IhnwAcrBRTs"	"Java Core: muốn lưu trữ cái gì cũng được miễn Nó là"	"140"	"vi-orig"	"140"
"A2_LIB_011"	"2"	"IhnwAcrBRTs"	"Java Core: thì ở đây chính là một vài cách code các"	"270"	"vi-orig"	"270"
"A2_LIB_011"	"3"	"IhnwAcrBRTs"	"Java Core: nhìn thấy rằng là chúng ta ghi string"			
"A2_LIB_013"	"1"	"yMRSXK9dfp8"	"Java Core: lỗi các bạn ơi mình sẽ refresh một cái"	"71"	"vi-orig"	"71"
"A2_LIB_013"	"2"	"yMRSXK9dfp8"	"Java Core: chẳng hạn đúng không chúng ta định nghĩa"	"124"	"vi-orig"	"124"
"A2_LIB_013"	"3"	"yMRSXK9dfp8"	"Java Core: này tính điểm các bạn này nó bảo đấy Ở"			
