fixture_key	video_id	tag
A3_LIB_01	7L0RLrfrBHE	Java
A3_LIB_01	7L0RLrfrBHE	OOP
A3_LIB_02	pV45eVVcuYc	Java
A3_LIB_02	pV45eVVcuYc	REST API
A3_LIB_03	unFHsn0qSMA	React
A3_LIB_03	unFHsn0qSMA	JavaScript
A3_LIB_04	SIAGpAaLSaI	React
A3_LIB_04	SIAGpAaLSaI	JavaScript
A3_LIB_05	wO4oDe-hEKo	Java
A3_LIB_05	wO4oDe-hEKo	OOP
A3_LIB_06	LykA5UTyrMs	Java
A3_LIB_06	LykA5UTyrMs	DSA
A3_LIB_07	Pju2Y69Q6ew	DSA
A3_LIB_07	Pju2Y69Q6ew	Algorithms
A3_LIB_08	MQZ1TH0l7sk	DSA
A3_LIB_08	MQZ1TH0l7sk	Algorithms
A3_LIB_09	TsTr-tKCREc	JavaScript
A3_LIB_09	TsTr-tKCREc	HTTP
A3_LIB_10	QJmNEqy0zV0	JavaScript
A3_LIB_10	QJmNEqy0zV0	Node.js
A3_LIB_11	zjUC_W7IOIc	React
A3_LIB_11	zjUC_W7IOIc	JavaScript
A3_LIB_12	B4sy3DL4IX0	Node.js
A3_LIB_12	B4sy3DL4IX0	Database
A3_LIB_13	L3Z4KfyCZOI	REST API
A3_LIB_13	L3Z4KfyCZOI	HTTP
A3_LIB_14	YqAU7T-BoDE	Node.js
A3_LIB_14	YqAU7T-BoDE	REST API
A3_LIB_15	SdcdneSdoV4	HTTP
A3_LIB_15	SdcdneSdoV4	REST API
